"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons","Collection methods","Prediction methods","Study region","Time period","Vegetation grouping","General conclusions","Interactions with fauna,"
1843985,"not_duplicate","excluded","not_screened","not_started","database","scopus","","When invasion increases population genetic structure: A study with Centaurea diffusa","Biological invasions offer excellent systems to study the evolutionary processes involved in introductions of species to new ranges. Molecular markers can reveal invasion histories and the effects of introductions on amounts and structuring of genetic variation. We used five polymorphic microsatellite loci to elucidate genetic diversity and population structure between native range and introduced range populations of a prominent North American rangeland weed, Centaurea diffusa (Asteraceae). We found that the total number of alleles and the number of private alleles was slightly higher in the native Eurasian range, and that allelic richness did not differ between the ranges, indicating overall levels of diversity were similar in Eurasia and North America. It therefore seems unlikely that this invasion has been affected by genetic bottlenecks or founder effects. Indeed, results of assignment tests suggest that multiple introductions have contributed to North America's C. diffusa invasion. Additionally, assignment tests show that both Eurasian and North American sites had a strong pattern of mixed genetic ancestry. This mixed assignment corresponded to a lack of geographic population structure among Eurasian samples. The lack of population structure in the native range conflicts with general expectations and findings to date for invasion genetics, and cautions that even species' native ranges may show signs of recent ecological upheaval. Despite the mixed assignments, North American samples showed strong population structure, suggesting that the invasion has been characterized by long-range dispersal of genetically distinct propagules across the introduced range. © 2007 Springer Science+Business Media B.V.","Hufbauer, R.A.; Marrs, R.A.; Sforza, R.","","10",2008,"Centaurea diffusa; Centaurea maculosa; Centaurea stoebe; Diffuse knapweed; Genetic diversity; Invasive species; Microsatellites; Population genetic structure","","","","","","","","",""
1843986,"not_duplicate","included","not_screened","not_started","database","scopus","","Extinction of North American Cuvieronius (Mammalia: Proboscidea: Gomphotheriidae) driven by dietary resource competition with sympatric mammoths and mastodons","The gomphotheres were a diverse and widespread group of proboscideans occupying Eurasia, North America, and South America throughout the Neogene. Their decline was temporally and spatially heterogeneous, and the gomphotheres ultimately became extinct during the late Pleistocene; however, the genus Cuvieronius is rarely represented in late Pleistocene assemblages in North America. Two alternative hypotheses have been invoked to explain this phenomenon: (1) competitive exclusion by sympatric mammoths and mastodons or (2) ecologic displacement due to an environmental transition from closed forests to open grasslands. To test whether competition for resources contributed to the demise of North American Cuvieronius, we present herein a large collection of stable isotope and dental microwear data from populations occupying their Pleistocene refugium in the Atlantic Coastal Plain. Results suggest that Cuvieronius consumed a wide range of resources with variable textural and photosynthetic properties and was not specialized on either grasses or browse. Further, we document evidence for the consumption of similar foods between contemporaneous gomphotheres, mammoths, and mastodons. The generalist feeding strategy of the gomphotheres likely facilitated their high Miocene abundance and diversity. However, this jack of all trades and master of none feeding strategy may have proved challenging following the arrival of mammoths and likely contributed to the extirpation of Cuvieronius in North America. © The Paleontological Society. All rights reserved 2020.","Desantis, L.R.G.; Smith, G.J.","","46",2020,"","","","","","","","","",""
1843987,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Isotopic evidence for Younger Dryas aridity in the North American midcontinent","Determining the impact of the Younger Dryas (YD) climate event on the unglaciated North American midcontinent has proved difficult due to a scarcity of suitable paleoclimate proxies. Here we present a well-dated carbon isotope (δ13C) record from a buried soil sequence in southwestern Missouri, which reveals a large isotopic excursion during the YD chronozone. In this region of the modern prairie-forest border, the δ13C signature of soil organic matter is a reliable indicator of past climatic change because δ13C values are controlled primarily by the relative abundance of C3 and C4 plants, which is tied to the environmental setting. Between ca. 13,200 and 11,900 yr ago, the abundance of C4 grasses increased by upwards of 50% of the total biomass, indicating expansion of grassland most likely driven by increased aridity during this period. Environmental gradients in the midcontinent must have been very steep, because at the same time that a C4-rich prairie existed in southwestern Missouri, spruce forests grew in Iowa, Illinois, and Ohio. © 2010 Geological Society of America.","Bettis, E.A.; Carpenter, S.J.; Dorale, J.A.; Hajic, E.R.; Lopinot, N.H.; Mandel, R.D.; Ray, J.H.; Wozniak, L.A.","","38",2010,"","","","","","","","","",""
1843988,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas","Throughout the Cenozoic, the North American mammalian fauna has been enriched by the appearance of new taxa originating on different continents. During most of the Tertiary, the primary source area of these new taxa was Eurasia with dispersal across some version of the Bering Land Bridge. In the late Pliocene (Blancan) ca. 2.5 mya, the creation of the Panamanian Land Bridge permitted the northward dispersal of species of South American origin including ground sloths. One of these sloths was ""Glossotherium"" chapadmalense, which in turn gave rise to the Pleistocene species Paramylodon harlani. Mammoths first appear in North America at the beginning of the Irvingtonian ca. 1.9 mya. Despite originating on two different continents, the two species are often found together in North American Pleistocene faunas and shared a common habitat. Both of these lineages are commonly interpreted as grazers, indicative of open grassland habitat, and both of these exotic species shared this habitat with North American endemic species such as horses, also interpreted as grazers. Despite their association in North American faunas, mammoths did not disperse into South America and mylodont sloths were unable to disperse into Eurasia. This suggests there were some aspects of their ecology they did not have in common and there existed a limited zone of conditions that permitted them to share common habitat. There is no evidence that the appearance of either species in North America resulted in the extinction of any native species. The question is how these different species, immigrants and endemics, were able to avoid competition, coexist, and become integrated into a single fauna, thus enriching the overall North American Pleistocene fauna.","McDonald, H.G.; Pelikan, S.","","142-143",2006,"","","","","","","","","",""
1843989,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Mammuthus population dynamics in late Pleistocene North America: Divergence, phylogeography, and introgression","After evolving in Africa at the close of the Miocene, mammoths (Mammuthus sp.) spread through much of the northern hemisphere, diversifying morphologically as they entered various habitats. Paleontologically, these morphs are conventionally recognized as species. In Pleistocene North America alone, several mammoth species have been recognized, inhabiting environments as different as cold tundra-steppe in the north and the arid grasslands or temperate savanna-parklands of the south. Yet mammoth phylogeographic studies have overwhelmingly focused on permafrost-preserved remains of only one of these species, Mammuthus primigenius (woolly mammoth). Here we challenge this bias by performing a geographically and taxonomically wide survey of mammoth genetic diversity across North America. Using a targeted enrichment technique, we sequenced 67 complete mitochondrial genomes including non-primigenius specimens representing Mammuthus columbi (Columbian mammoth), Mammuthus jeffersonii (Jeffersonian mammoth), and Mammuthus exilis (pygmy mammoth), including specimens from contexts not generally associated with good DNA preservation. While we uncovered clear phylogeographic structure in mammoth matrilines, their phylogeny as recovered from mitochondrial DNA is not compatible with existing systematic interpretations of their paleontological record. Instead, our results strongly suggest that various nominal mammoth species interbred, perhaps extensively. We hypothesize that at least two distinct stages of interbreeding between conventional paleontological species are likely responsible for this pattern-one between Siberian woolly mammoths and resident American populations that introduced woolly mammoth phenotypes to the continent, and another between ecomorphologically distinct populations of woolly and Columbian mammoths in North America south of the ice. © 2016 Enk, Devault, Widga, Saunders, Szpak, Southon, Rouillard, Shapiro, Golding, Zazula, Froese, Fisher, MacPhee and Poinar.","Brian Golding, G.; Devault, A.; Enk, J.; Fisher, D.C.; Froese, D.; MacPhee, R.D.E.; Poinar, H.; Rouillard, J.-M.; Saunders, J.; Shapiro, B.; Southon, J.; Szpak, P.; Widga, C.; Zazula, G.","","4",2016,"Ancient DNA; Mammoths; North America; Phylogenetics; Phylogeography; Pleistocene; Targeted enrichment","","","","","","","","",""
1843990,"not_duplicate","included","not_screened","not_started","database","scopus","","Pollen signatures of the arid to humid grasslands of North America","Aim: Many studies have shown that the pollen record can be used to distinguish grasslands from other vegetation types at the biome level, but few have attempted to use pollen to distinguish between specific prairie types. This study was undertaken to determine whether the tallgrass, mixed-grass, shortgrass, and desert grasslands of North America have unique pollen signatures that can be used to distinguish between grasslands at the community-scale, rather than at the scale of the biome. Location: Data was collected from the southern North American grasslands of Oklahoma, Texas, and New Mexico. Methods: High resolution, annual pollen-influx data gathered in Tauber pollen traps were analyzed using cluster analysis to summarize the pollen signature from each trap locality and to catagorize the samples into discrete grassland groups. Results: Based on the results of the cluster analysis, each grassland produces a distinctive pollen signature that can be used to distinguish between grassland types. In addition, pollen influx is shown to be closely correlated with annual precipitation. Main conclusions: The ability to distinguish between grassland types and to relate annual influx to annual precipitation has important implications for understanding the evolution of grasslands during the Holocene, for palaeoclimatic studies, and for monitoring ecosystem changes in the present-day grasslands.","Hoyt, C.A.","","27",2000,"Chihuahuan Desert; North American grasslands; Pollen; Southern Great Plains","","","","","","","","",""
1843991,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Diversity and endemism in tidal-marsh vertebrates","Tidal marshes are distributed patchily, predominantly along the mid- to high-latitude coasts of the major continents. The greatest extensions of non-arctic tidal marshes are found along the Atlantic and Gulf coasts of North America, but local concentrations can be found in Great Britain, northern Europe, northern Japan, northern China, and northern Korea, Argentina-Uruguay- Brazil, Australia, and New Zealand. We tallied the number of terrestrial vertebrate species that regularly occupy tidal marshes in each of these regions, as well as species or subspecies that are largely restricted to tidal marshes. In each of the major coastal areas we found 8-21 species of breeding birds and 13-25 species of terrestrial mammals. The diversity of tidal-marsh birds and mammals is highly inter-correlated, as is the diversity of species restricted to saltmarshes. These values are, in turn, correlated with tidal-marsh area along a coastline. We estimate approximately seven species of turtles occur in brackish or saltmarshes worldwide, but only one species is endemic and it is found in eastern North America. A large number of frogs and snakes occur opportunistically in tidal marshes, primarily in southeastern United States, particularly Florida. Three endemic snake taxa are restricted to tidal marshes of eastern North America as well. Overall, only in North America were we able to find documentation for multiple taxa of terrestrial vertebrates associated with tidal marshes. These include one species of mammal and two species of birds, one species of snake, and one species of turtle. However, an additional 11 species of birds, seven species of mammals, and at least one snake have morphologically distinct subspecies associated with tidal marshes. Not surprisingly, species not restricted entirely to tidal marshes are shared predominantly with freshwater marshes and to a lesser degree with grasslands. The prevalence of endemic subspecies in North American marshes can either be a real biogeographical phenomenon or be attributable to how finely species are divided into subspecies in different regions. The difference between North America and Eurasia is almost certainly a biological reality. Additional taxonomic and ecological work needs to be undertaken on South American marsh vertebrates to confirm the lack of endemism and specialization there. Assuming that the pattern of greater degree of differentiation in North American tidal-marsh vertebrates is accurate, we propose that the extension and stability of North American marshes and the existence of connected southern refugia along the Gulf Coast during the Pleistocene contributed to the diversification there. The relatively large number of endemics found along the west coast of North America seems anomalous considering the overall low diversity of tidal marsh species and the limited areas of marsh which are mostly concentrated around the San Francisco Bay area.","Greenberg, R.; Maldonado, J.E.","","",2006,"Biogeography; Habitat specialization; Saltmarsh; Wetland vertebrates","","","","","","","","",""
1843992,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Convergence and contingency in production-precipitation relationships in North American and South African C4 grasslands","Mesic grasslands in North America and South Africa share many structural attributes, but less is known of their functional similarities. We assessed the control of a key ecosystem process, aboveground net primary production (ANPP), by interannual variation in precipitation amount and pattern via analysis of data sets (15- and 24-year periods) from long-term research programs on each continent. Both sites were dominated by C4 grasses and had similar growing season climates; thus, we expected convergence in precipitation-ANPP relationships. Lack of convergence, however, would support an alternative hypothesis-that differences in evolutionary history and purportedly greater climatic variability in South Africa fundamentally alter the functioning of southern versus northern hemisphere grasslands. Neither mean annual precipitation nor mean ANPP differed between the South African and North American sites (838 vs. 857 mm/year, 423.5 vs. 461.4 g/m2 respectively) and growing season precipitation-ANPP relationships were similar. Despite overall convergence, there were differences between sites in how the seasonal timing of precipitation affected ANPP. In particular, interannual variability in precipitation that fell during the first half of the growing season strongly affected annual ANPP in South Africa (P &lt; 0.01), but was not related to ANPP in North America (P = 0.098). Both sites were affected similarly by late season precipitation. Divergence in the seasonal course of available soil moisture (chronically low in the winter and early spring in the South African site vs. high in the North American site) is proposed as a key contingent factor explaining differential sensitivity in ANPP to early season precipitation in these two grasslands. These long-term data sets provided no support for greater rainfall, temperature or ANPP variability in the South African versus the North American site. However, greater sensitivity of ANPP to early season precipitation in the South African grassland suggests that future patterns of productivity may be more responsive to seasonal changes in climate compared with the North American site. © Springer-Verlag 2006.","Burns, C.E.; Fynn, R.W.S.; Kirkman, K.P.; Knapp, A.K.; Morris, C.D.; Smith, M.D.","","149",2006,"Climate; Evolutionary history; Net primary production; Precipitation; Soil moisture","","","","","","","","",""
1843993,"not_duplicate","included","not_screened","not_started","database","scopus","","The origins and evolution of the North American grassland biome: The story from the hoofed mammals","The North American grassland biome first appeared around 18 Ma in the mid Miocene. The familiar story of the Neogene evolution of this biome is of the replacement of ungulates (hoofed mammals) having a primarily browsing diet by the more derived grazing ungulates. However, new data show a more complicated pattern of faunal succession. There was a maximum taxonomic diversity of ungulates at 16-14 Ma, including a large number of grazers, and the subsequent decline in overall diversity was largely due to the decline of the browsers, with little corresponding increase in the grazers. Additionally the mid Miocene faunas (∼ 18-12 Ma) contained a much greater number of browsers than any comparable present-day habitat. We discuss possible explanations for these non-analogous grassland faunas, including the possibility that the primary productivity of the vegetation was greater in the early to middle Miocene than it is today. One possible explanation for increased primary productivity is higher Miocene levels of atmospheric carbon dioxide than in the present day. The proposed difference in vegetational productivity also may explain why horses radiated as the mare grazers in North America, in contrast to the radiation of antelope in the Plio-Pleistocene African grasslands. © 2002 Elsevier Science B.V. All rights reserved.","Damuth, J.; Janis, C.M.; Theodor, J.M.","","177",2002,"Atmospheric carbon dioxide; Grasslands; Herbivores; Mammals; Miocene","","","","","","","","",""
1843994,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Borioteiioidean lizard skulls from Kleskun Hill (Wapiti Formation; Upper Campanian), west-central Alberta, Canada","New material of borioteiioidean lizards (Squamata: Scincomorpha) from west-central Alberta, Canada, represent the first and northernmost record of multiple articulated skull elements from the Cretaceous of North America. Specimens were recovered from the fluvial beds of the Wapiti Formation (Campanian) within a bentonitic paleosol exposed at the Kleskun Hill Park, east of the city of Grande Prairie. Such beds accumulated during the maximum transgression of the Bearpaw Seaway (7374 Ma), thus providing crucial information on lizard faunas during a time interval represented in most of coeval North American deposits by marine strata. Cranial material ascribed to Socognathus unicuspis give the occasion for a revision of the taxon with respect to osteologically better-known Polyglyphanodon sternbergi from the Late Cretaceous of Utah as well as a comparison with several lizards reported from coeval strata of Mongolia. Furthermore, a new scincomorphan lizard, Kleskunsaurus grandeprairiensis, gen. et sp. nov., is described. Socognathus unicuspis is assigned to Chamopsiidae, taxon nov., which also includes Chamops, Leptochamops, and several other morphologically similar taxa from the Cretaceous of North America. © 2010 by the Society of Vertebrate Paleontology.","Caldwell, M.W.; Fanti, F.; Nydam, R.L.","","30",2010,"","","","","","","","","",""
